optimizer,graph,max_per_edge,duration_ms,unix_timestamp
default-params,/example-instances-2024/100-nodes.json,7,10318,1744701578
default-params,/example-instances-2024/15-nodes.json,4,39,1744701578
default-params,/example-instances-2024/150-nodes.json,49,16000,1744701578
default-params,/example-instances-2024/225-nodes.json,17,11321,1744701578
default-params,/example-instances-2024/625-nodes.json,5,10892,1744701578
default-params,/example-instances-2024/70-nodes.json,11,1533,1744701578
default-params,/example-instances-2024/sol-100-nodes-10-planar.json,7,1808,1744701578
default-params,/example-instances-2024/sol-15-nodes-5-planar.json,4,37,1744701578
default-params,/example-instances-2024/sol-150-nodes-50-planar.json,49,14542,1744701578
default-params,/example-instances-2024/sol-225-nodes-16-planar.json,14,9939,1744701578
default-params,/example-instances-2024/sol-625-nodes-5-planar.json,6,10614,1744701578
default-params,/example-instances-2024/sol-70-nodes-16-planar.json,11,1571,1744701578
